,Crop,N_min,N_max,P_min,P_max,K_min,K_max,Avg_Temp,Rainfall,Productivity,EUR/ha,EUR/kg,Area,Production,Production_kg
0,Arecanut,79,100,28,40,79,140,28.236666666666665,1189.4800000000002,2750.0,14119.60759,5.13440276,4.0,11.0,11000.0
1,Arecanut,79,100,28,40,79,140,28.29458333333333,887.11,1750.0,8985.20483,5.13440276,4.0,7.0,7000.0
2,Arecanut,79,100,28,40,79,140,28.54583333333333,788.69,1444.4444444444443,7416.359542222222,5.13440276,18.0,26.0,26000.0
3,Arecanut,79,100,28,40,79,140,28.4875,805.96,722.2222222222222,3708.179771111111,5.13440276,18.0,13.0,13000.0
4,Arecanut,79,100,28,40,79,140,28.28916666666666,1822.37,444.44444444444446,2281.9567822222225,5.13440276,9.0,4.0,4000.0
5,Arecanut,79,100,28,40,79,140,27.13833333333333,589.9099999999999,2761.904761904762,14180.731432380951,5.13440276,252.0,696.0,696000.0
6,Arecanut,79,100,28,40,79,140,27.556666666666665,443.4800000000001,1673.1517509727626,8590.634968093385,5.13440276,257.0,430.0,430000.0
7,Arecanut,79,100,28,40,79,140,27.7875,447.0100000000001,1441.06463878327,7399.006258707224,5.13440276,263.0,379.0,379000.0
8,Arecanut,79,100,28,40,79,140,28.28458333333333,412.44000000000005,710.5263157894736,3648.128276842105,5.13440276,266.0,189.0,189000.0
9,Arecanut,79,100,28,40,79,140,27.562083333333334,716.35,798.5074626865671,4099.858920298508,5.13440276,268.0,214.0,214000.0
10,Arecanut,79,100,28,40,79,140,27.470416666666665,522.08,691.2442396313364,3549.1263317972357,5.13440276,217.0,150.0,150000.0
11,Arecanut,79,100,28,40,79,140,27.26708333333333,639.2299999999999,713.8461538461538,3665.173662523077,5.13440276,325.0,232.0,232000.0
12,Arecanut,79,100,28,40,79,140,27.759166666666665,559.3000000000001,474.7191011235955,2437.399063033708,5.13440276,356.0,169.0,169000.0
13,Arecanut,79,100,28,40,79,140,27.73875,636.96,444.9877750611247,2284.746460440098,5.13440276,409.0,182.0,182000.0
14,Arecanut,79,100,28,40,79,140,27.33208333333333,548.0500000000001,493.5304990757856,2533.9843565988917,5.13440276,541.0,267.0,267000.0
15,Arecanut,79,100,28,40,79,140,24.828333333333333,787.2100000000002,1396.3963963963963,7169.661511711712,5.13440276,111.0,155.0,155000.0
16,Arecanut,79,100,28,40,79,140,25.10666666666667,804.27,6747.747747747748,34645.654659819826,5.13440276,111.0,749.0,749000.0
17,Arecanut,79,100,28,40,79,140,24.43625,743.59,1395.3488372093022,7164.282920930233,5.13440276,86.0,120.0,120000.0
18,Arecanut,79,100,28,40,79,140,24.721250000000005,610.31,1395.0617283950617,7162.808788641975,5.13440276,81.0,113.0,113000.0
